GENRE	TEXT	LABEL	EXTRACTION
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0008	ita	Palazzo della Ragione
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0010	ita	del Municipio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0012	ita	Castello S Pietro Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0014	ita	Porta dei Borsari
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0016	ita	Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0018	ita	vicoli
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0020	ita	cortili
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0022	ita	Vicola Pigna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0024	ita	Sanmicheli
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0026	ita	Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0028	ita	Piazza delle Erbe
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0034	ita	Capitano del Popolo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0040	ita	Signorio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0042	ita	Signorio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0044	ita	piazza
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0046	ita	Palazzo Tresa
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0048	ita	Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0050	ita	piazza
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0056	ita	Giotto
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0058	ita	Madonna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0060	ita	Pedrocchi
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0064	ita	Ponte de Lorenzo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_10_out.txt_0066	ita	Dante
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0002	ita	Malatesta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0004	ita	Le Marche
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0006	ita	Rimini
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0008	ita	Sigismondo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0010	ita	bellicose
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0012	ita	Sigismondo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0014	ita	Leo Battista Alberti
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0018	ita	Sigismondo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0020	ita	Alberti
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0022	ita	Malatesta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0024	ita	di Malatesta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0028	ita	Isotta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0030	ita	Sigismondo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0032	ita	Malatesta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0036	ita	Sigismondo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0042	ita	Sigismondo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0044	ita	Sigismondo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0046	ita	Alberti
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0048	ita	Della Robbia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0052	ita	Sigismondo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0054	ita	Malatesta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0060	ita	fresco
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0062	ita	Sigismondo Malatesta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_100_out.txt_0064	ita	Isotta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0002	ita	Capella dell Acque
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0004	ita	Madonna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0006	ita	Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0008	ita	Tempio di
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0010	ita	Rimini
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0012	ita	Venetia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0014	ita	Castello d Este
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0016	ita	Este
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0018	ita	d Este
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0020	ita	Ferrara
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0022	ita	Reggio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0024	ita	Lucrezia Borgia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0026	ita	Azzo d Este
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0028	ita	Este
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0030	ita	Bavaria
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0032	ita	Ferrara
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0034	ita	Este
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0038	ita	Ferrara
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0040	ita	Niccolo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0042	ita	Ferrara
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0044	ita	Ferrara
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0046	ita	terra cotta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0048	ita	Ferrara
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0050	ita	Palazzo de Diamanti
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0052	ita	Ferrara
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0054	ita	Bentivoglio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0056	ita	Casa di Ariosto
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0058	ita	Sta Anna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0060	ita	terra cotta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0062	ita	castello
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_101_out.txt_0064	ita	Ercole d Este
